Name,Data File,Type,Level,Acq. Date-Time,Norvaline Results,Succinate Results,Norleucine Results,Ribose Results,Glucose_1 Results,Glucose_2 Results,Sorbitol Results,Sugar Results
D04_P1_Oa_3_75000_0_00000_T3,D04_P1_Oa_3_75000_0_00000_T3.D,Sample,,2/26/2026 16:57,1247377,679,1418066,13,316,12,1150950,27
E05_P2_OaC2_3_75000_2_50000_T4,E05_P2_OaC2_3_75000_2_50000_T4.D,Sample,,2/27/2026 16:44,885017,421,1013041,25,316,,736864,
G07_P2_AtOa_3_75000_2_50000_T6,G07_P2_AtOa_3_75000_2_50000_T6.D,Sample,,2/25/2026 20:58,942280,370,1032611,6,315,54,872449,
A08_P1_AtOa_0_00000_2_50000_T0,A08_P1_AtOa_0_00000_2_50000_T0.D,Sample,,2/27/2026 1:52,1032439,212,1139872,,284,10,914476,66
C04_P1_Oa_3_75000_0_00000_T2,C04_P1_Oa_3_75000_0_00000_T2.D,Sample,,2/26/2026 20:30,818308,336,907269,16,281,46,796826,
D03_P1_FM_0_05859_0_00000_T0,D03_P1_FM_0_05859_0_00000_T0.D,Sample,,2/27/2026 23:55,700766,276,761943,,274,20,610176,60
D06_P2_FM_0_00000_0_03906_T0,D06_P2_FM_0_00000_0_03906_T0.D,Sample,,2/28/2026 21:56,5088,126,4390,46,261,24,83,67
C02_P2_AtC2_3_75000_2_50000_T2,C02_P2_AtC2_3_75000_2_50000_T2.D,Sample,,2/26/2026 11:35,1092273,351,1229050,22,246,14,939159,
H01_P2_At_3_75000_2_50000_T7,H01_P2_At_3_75000_2_50000_T7.D,Sample,,2/27/2026 22:41,884704,12446,1020742,62,222,16,707520,62
F03_P2_FM_0_00183_0_00000_T0,F03_P2_FM_0_00183_0_00000_T0.D,Sample,,2/26/2026 3:41,829211,920,936016,12,220,8,690598,25
A06_P2_FM_0_00000_2_50000_T0,A06_P2_FM_0_00000_2_50000_T0.D,Sample,,2/27/2026 20:55,1052874,18852,1216301,24,219,11,936952,
D02_P1_At_0_00000_2_50000_T3,D02_P1_At_0_00000_2_50000_T3.D,Sample,,2/28/2026 7:39,127424,400,131082,38,213,41,59082,47
B05_P1_Oa_0_00000_2_50000_T1,B05_P1_Oa_0_00000_2_50000_T1.D,Sample,,2/27/2026 2:27,848669,359,975251,,195,20,674020,57
B07_P1_AtOa_3_75000_0_00000_T1,B07_P1_AtOa_3_75000_0_00000_T1.D,Sample,,2/27/2026 19:08,869262,1567747,1056273,8,170,34,700296,
E07_P2_AtOa_3_75000_2_50000_T4,E07_P2_AtOa_3_75000_2_50000_T4.D,Sample,,2/26/2026 18:43,943854,131,1051685,,133,31,835267,50
A09_P1_none_0_00000_0_00000_none,A09_P1_none_0_00000_0_00000_none.D,Sample,,2/26/2026 19:19,2899,164,2093,19,126,17,48,18
B04_P1_Oa_3_75000_0_00000_T1,B04_P1_Oa_3_75000_0_00000_T1.D,Sample,,2/26/2026 0:31,986105,446787,1152995,66,120,6,947845,
C09_P2_none_0_00000_0_00000_none,C09_P2_none_0_00000_0_00000_none.D,Sample,,2/26/2026 3:05,1056,425,1229,6,117,14,13,24
A04_P1_Oa_3_75000_0_00000_T0,A04_P1_Oa_3_75000_0_00000_T0.D,Sample,,2/26/2026 13:57,1057333,2426683,1264774,23,112,25,971960,
C08_P1_AtOa_0_00000_2_50000_T2,C08_P1_AtOa_0_00000_2_50000_T2.D,Sample,,2/26/2026 19:54,1514,39,1226,,83,,12,26
B09_P1_none_0_00000_0_00000_none,B09_P1_none_0_00000_0_00000_none.D,Sample,,2/25/2026 23:56,2234,541,1741,40,60,,41,58
G08_P2_AtOaC2_3_75000_2_50000_T6,G08_P2_AtOaC2_3_75000_2_50000_T6.D,Sample,,2/25/2026 22:45,259,57,170,112,12,8,16,94
H06_P2_FM_0_00000_0_00008_T0,H06_P2_FM_0_00000_0_00008_T0.D,Sample,,2/25/2026 22:09,83,59,96,182,12,11,31,
